key,q,a
,百旅会有什么特点,尊敬的同程VIP会员您好，百旅会是同程旅游专门为中老年打造的中老年品质旅游幸福生活社群，有以下优点：1入会即赠等值价格积分，预订线路有优惠幅度，可多人共同使用积分。2：收客限龄宽，最大收客年龄是70-100岁，让更多的老年人可以享受到旅行的乐趣~3：定制专属线路，安排同程金牌领队，行程更加轻松愉快~4：免费赠送全面体检套餐 5：结识更多志同道合的朋友，丰富晚年生活。
,百旅会会员有效期,尊敬的同程VIP会员您好，百旅会会员的有效期是一年哦，但是积分的有效期是五年，即使第二年您没有入会，积分也是可以正常使用的哦。
,百旅会岁月与旅行怎么投稿,尊敬的同程VIP会员您好~百旅会岁月与旅行是同程旅游与中国旅游出版联合合作的中老年旅游故事征集大赛，投稿邮箱是Blh999@ly.com.
,百旅会3999套餐包含往返交通吗,尊敬的同程VIP会员您好，百旅会白金浪漫版包含的3天2行程是国内游目的地跟团游的行程哦，是不含往返的大交通的哦~需要您自行前往，但是您到目的地后会有导游跟您联系的呢。
,百旅会推荐朋友有优惠吗,尊敬的同程VIP会员您好，百旅会是积分制的哦，推荐朋友入会会给您赠送积分的哦~没有别的优惠呢。推荐黄金版积分赠送200，白金版赠送积分300.
,80岁老人能参加百旅会吗,"尊敬的同程VIP会员您好，百旅会收客范围在20-100岁哦,权益不受限制，年轻人可以使用积分折扣，老年人可以使用我们的增值权益如（中老年大学、一年两次的会员才艺大赛），只要身体无恙，百旅会都是可以接待的哦~"
,百旅会的折扣线路在哪里查看,尊敬的同程VIP会员您好，您可以直接登录手机app端，进入首页后在金融理财下面有一个积分抵扣的标示，点击进入后就可以直接查看相应线路折扣哦~
,活动会通知我吗,"尊敬的同程VIP会员您好，因为平时线下活动开展次数频繁，所以不会每次活动都做出通知，如果有需要了解近期活动内容，您可以直接在微信群服务中咨询客服详细了解近期活动，或者直接登录手机app——我的——会员中心——百旅会进行预约哦，也可以直接联系您的顾问帮您预约或者致电[link url=""tel:4001807777""]400-180-7777[/link]进行预约。"
,百旅会怎样激活,"尊敬的同程VIP会员您好，百旅会订单支付完成后7天内需要进行激活哦~付款前维护好您个人的身份信息，如：姓名、性别、使用人手机号码、身份证号码、常住地址等信息维护好，付款完成在半个小时之内会自动激活哦~也可以直接把您的信息给您的专属顾问去帮您操作。注（填写个人信息时务必核查身份证号码及激活人手机号码，填写错误后期修改会很麻烦哦~）

如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45（周一至周五）"
,百旅会怎样注册会员,"尊敬的同程VIP会员您好，百旅会会员是会员制的哦，不同版本每年要收取不同的会员费~黄金关爱版每年会费2199元、白金浪漫版每年会费3999元、铂金浪漫版每年会费5699元哦~每个版本也有不同的权益哦~详情可以直接致电[link url=""tel:4001807777""]400-180-7777[/link]进行电话咨询哦~

如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45（周一至周五）
如果有紧急情况也可以直接拨打[link url=""tel:4001807777""]400-180-7777[/link]~进行电话咨询~"
,会员权益可以给别人使用吗,尊敬的同程VIP会员您好，百旅会的权益是可以转让给家人或者朋友的哦，部分权益已经使用就无法转让的哦~（如：保险）报名参与活动时需跟客服说明会员本人，及会员手机号码哦。
,怎样查看百旅会线路,尊敬的同程VIP会员您好，大部分线路都是可以使用积分抵扣的，线路在您预订的时候有百旅会积分抵扣字样的均可使用百旅会积分，单品则无法使用积分抵扣哦。
,百旅会的权益在哪里查看,"尊敬的同程VIP会员您好，在您加入百旅会后订单已经签约并激活的状态下才能查看您的相关权益哦，激活可以直接找您的专属顾问去帮助您激活。具体查看步骤如下：
同程旅游app--首页--点击我的--会员中心--点击百旅会，进入后方可查看您所剩余的权益信息哦。"
,百旅会会刊在哪里领取,尊敬的同程VIP会员您好，百旅会会刊在各个线下体验店领取哦~会刊不提供邮服务，时间为每个月领取，您可以到离您最近的体验店去领取，也可以让朋友带领。
,怎样查找百旅会订单,尊敬的同程VIP会员您好，百旅会不是以订单的形式展现的哦，百旅会是以会员的形式展现，在您的会员签约并激活完成后，您的会员账户会显示是百旅会会员，具体可以直接登录手机app点击我的——会员中心——更多会员——百旅会会员，会展现出您的百旅会会员权益哦。
,怎样查看我的百旅会账户,尊敬的同程VIP会员您好，您预订百旅会的手机号码即是百旅会的会员账户哦~您的会员信息已经签约并激活的状态下才能查看您的会员权益哦。具体可以直接登录手机app点击我的——会员中心——更多会员——百旅会会员，会展现出您的百旅会会员权益哦。
,百旅会会刊什么时候领取,尊敬的同程VIP会员您好，百旅会会刊每月10日领取，如果你当日没有无法去领取，可以延期领取。
,百旅会会员如何及时获知自己所在地域权益信息？,"尊敬的同程VIP会员您好，可通过以下方式获取自己所在地域权益信息：
       1)百旅会服务号
       2) [link url=""tel:4001807777""]400-180-7777[/link]客服电话
       3)同程旅游APP 百旅会频道
       4)ly.com网站百旅会频道
       5)咨询专属顾问
       有任何新的活动，也会通过百旅会公众号推送给客户（前提是客户的账号跟百旅会服务号绑定）您可以自行通过百旅会服务号预约权益，或者致电400客服热线及旅游顾问协助预约权益"
,百旅会合同签订,"尊敬的同程VIP会员您好：百旅会合同签订方式有两种，第一：短信签约，即订单支付完成后系统自动给您发送签约短信，您只需要点击“回复并同意”按钮即可。第二：您可以直接到离您最近的线下体验店进行纸质签约。如果以上未能解答您的疑问，您可以直接致电[link url=""tel:4001807777""]400-180-7777[/link]客服电话进行详细咨询~"
,百旅会微信群服务,尊敬的同程VIP会员您好，在您加入百旅会并支付完成后，您的专属顾问会为您进行拉微信群服务，微信群服务客服是您所在区域的客服，以便在您后续有预约权益问题，百旅会售后问题，行程问题，行程中问题，问题的反馈等在第一时间能够得以处理~
,百旅会的费用可以直接购买产品吗,"尊敬的同程VIP会员您好，百旅会所缴纳的费用是一年的会费，入会即赠送您等值的积分，是不可以进行直接进行购买产品，积分只能抵扣掉部分的优惠哦~有任何问题[link url=""tel:4001807777""]400-180-7777[/link]进行电话咨询哦~"
,不是会员可以参加旅游吗,尊敬的同程VIP会员您好，同程旅游线路针对所有会员哦，部分专属线路是针对百旅会会员抵扣和百旅会积分抵扣，线路上都标有文字说明，具体可以查看线路详情。如果还未解决您的疑问，可以直接拨打400-180-7777进行详细咨询。
,已经参加了百旅会，为什么显示是普通会员,"尊敬的同程VIP会员您好，订单支付完成且已经激活的状态下，订单状态为百旅会会员哦~如果订单显示是普通会员，则百旅会会员还未激活。如果需要激活，可以直接联系您的专属客服

如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45（周一至周五）
如果有紧急情况也可以直接拨打[link url=""tel:4001807777""]400-180-7777[/link]~进行电话咨询~"
,百旅会可以跨区域参加活动问题,"尊敬的同程vip会员您好，同程旅游旗舰店在全国各地基本都有旗舰店的哦，所以百旅会的权益可以跨区域参加，但是权益都是需要您提前进行预约的，可以直接找您的专属顾问进行预约，也可以直接致电[link url=""tel:4001807777""]400-180-7777[/link]进行预约哦~"
,百旅会会员实体卡丢失怎么办？,尊敬的同程vip会员您好：百旅会初期会员是赠送实体卡的哦，12月后期的会员直接凭手机号码验证会员哦。预约活动都无需再出示实体卡哦，直接凭会员手机号码报名即可~
,为什么交了费用，还显示不是会员,尊敬的同程vip会员您好，您入会后需要先进行激活会员，激活会员后才会显示您是百旅会会员同时积分也会到账。如果您没有激活的情况下，是不会显示会员信息和积分的哦~
,升级包是什么,尊敬的同程vip会员您好，升级包是百旅会退出的积分升级包，价格为1000元，权益包含1000积分及4次周边一日游。
,积分商城在哪里查看,尊敬的同程vip会员您好：积分商城的打开方式：打开手机APP——首页——百旅会要客——积分商城。
,积分商城是什么,尊敬的百旅会会员您好，积分商城是百旅会对百旅会会员积分做出一个商品优惠活动，可以兑换一些旅游居家用品。如：旅行箱、转换插头、除螨仪、四件套等些物品~
,体验店地址在哪里,"尊敬的同程VIP会员您好，
如果未查询到您想要的城市，您可以直接登录同程官网www.ly.com，进入首页拉到最下方页面，点击联系我们，往下拉即可看到同程各个旗舰店地址、交通、联系电话哦~

如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45"
,同程旅游江苏体验店地址,"尊敬的同程VIP会员您好，江苏有多个体验店哦，以下只是部分体验店，如果未查询到您想要的信息，您可以直接登录同程官网www.ly.com，进入首页拉到最下方页面，点击联系我们，往下拉即可看到同程各个旗舰店地址、交通、联系电话哦~

苏州干将路体验店，电话：
0512-66095780，地址：
苏州姑苏区干将东路636号2-10，
苏州同程一号旗舰店
电话：
051267998802
地址：
苏州市园区裕新路188号同程大厦B栋1楼"
,同程旅游上海体验店有哪些,"尊敬的同程VIP会员您好：上海各个区域有多个体验店，以下只是备份体验店信息，如果未查询到您想要的信息，您可以直接登录同程官网www.ly.com，进入首页拉到最下方页面，点击联系我们，往下拉即可看到同程各个旗舰店地址、交通、联系电话哦~
上海市浦东新区张杨路3003号，联系电话：021-23561099。
上海市宝山区共和新路4739弄127号（万达广场附近），联系电话：02123562319。
上海市长宁区北渔路55号，联系电话：02123563121。
上海市虹口区花园路48号1层，联系电话：02123563385。
上海市闸北区宝山路230号（宝山路鸿兴路，老北站）联系电话：02123561499
上海市普陀区中山北路3553号伸大厦201室，联系电话：021-80122546。
上海市徐汇区零陵路飞州国际大厦602室，联系电话：02134770161。上海市浦东新区张杨路3003号"
,你好,尊敬的同程vip会员您好~vip会员中心欢迎您，请问有什么可以帮到您的？
,可以更换顾问吗,尊敬的同程VIP会员您好，如您对目前旅游顾问服务不满意需要更换。您可以在客户端中进入【我的】--【旅游顾问】，点击顾问头像， 选择右上角更换。然后重新选择即可。
,宁波同程旅游体验店,"尊敬的同程vip会员您好，同程旅游宁波体验店有以下几个：宁波海曙解放北路体验店
09:00~19:00
宁波市海曙区解放北路124号新金穗大楼A座（中山广场对面）
地铁1号线鼓楼站A号出口步行500米即可到达 或 公交：①中山广场站下车步行50米，公交线：6路，30路，118路，305路，360路，363路，380路，501路，516路，517路，521路，527路，812路；②苍水街站下车步行150米，公交线路：806路
057483899336
 宁波江东大步街体验店
09:00~19:00
浙江省宁波市江东区大步街11号
七塔寺站：3路;15路;102路;111路;135-1;135路;138路;205夜间线;357路;366路;516路;517路步行175米即可；大步街站：5路;354路;809路步行178米即可；地铁1号线江夏桥东站下，步行585米即可；
057481858222
宁波鄞州贸城西路体验店
09:00~20:00
浙江省宁波市鄞州区贸城西路18号联盛广场B座
115路、116路、151路、178路、632路、636路下车即到（巴黎春天站）。7路、527路、103路、105路、107路、126路、129路、136路、160路、168路、169路、281路、635路、650路、661路、368路下车向西拐弯600,米（万达广场西站下车）。
057487083187
宁波江北清河路体验店
09:00~20:00
宁波市江北区清河路131号1-4
25路，33路，38路，337路，339路，521路，819路公交车
057487083280
宁波余姚体验店
09:00~20:00
浙江省宁波余姚市东旱门北路15号
公交：余姚102，余姚301东线，余姚301西线，余姚401，余姚205，余姚202，余姚302内环，余姚302外环，余姚402
057462660790
宁波汇金大厦体验店
09:00~18:00
宁波市海曙区和义路77号汇金大厦5楼501-503
公交东门口站:19路、15路、518路、503路空调、215路、515路、331路、521路空调、4路、350路、10路外环
057481857691"

,百旅会的地点在哪里,尊敬的同程VIP会员您好，同程旅游百旅会总部在苏州，且全国目前在各个城市拥有旗舰店，会员部分权益会在各个旗舰店举行哦，如果您需要了解您所在地点的百旅会旗舰店，您可以直接致电400-180-7777进行详细咨询，或者您可以您可以直接登录同程官网www.ly.com，进入首页拉到最下方页面，点击联系我们，往下拉即可看到同程各个旗舰店地址、交通、联系电话哦~
,有没有人工,"尊敬的百旅会会员您好，很抱歉，目前百旅会暂时没有人工客服，如有疑问，您可以拨打[link url=""tel:4001807777""]400-180-7777[/link]"
,咨询,"您好，这边是百旅会咨询入口，如您想了解同程其他业务详情，请点击对应项目咨询：
[link url=""http://s.ly.com/Oqbdd""]【?景区】[/link]
[link url=""http://s.ly.com/H0gkd""]【?用车】[/link]
[link url=""http://s.ly.com/fGbdd""]【?签证】[/link]
[link url=""http://s.ly.com/MFbdd""]【?邮轮】[/link]
[link url=""http://s.ly.com/xFbdd""]【?酒店】[/link]
[link url=""http://s.ly.com/3hbdd""]【?国内游】[/link]
[link url=""http://s.ly.com/tGbdd""]【?汽车票】[/link]
[link url=""http://s.ly.com/Nxekd""]【?电影票】[/link]
[link url=""http://s.ly.com/fRbdd""]【?出境游】[/link]
[link url=""http://s.ly.com/iFbdd""]【?周边跟团】[/link]
[link url=""http://s.ly.com/lFbdd""]【?国内机票】[/link]
[link url=""http://s.ly.com/dgbdd""]【?国际机票】[/link]
[link url=""http://s.ly.com/uhbdd""]【?海外玩乐】[/link]
[link url=""http://s.ly.com/GFbdd""]【?周边自由行】[/link]"
,怎样加盟百旅会,"尊敬的同程VIP会员您好，咨询百旅会合作可以直接登录同程旅游官方网站，在页面最下页有商务合作，点击商务合作后可以填写下关于您的相关信息，后续会有我们相关部门跟您取得联系哦~也可以直接致电[link url=""tel:4001807777""]400-180-7777[/link]进行咨询哦."
,百旅会客服电话,"尊敬的同程VIP会员您好，非常抱歉同同未能处理您的问题。您可以直接拨打百旅会热线咨询电话为[link url=""tel:4001807777""]400-180-7777[/link]。如果有百旅会线路或者机票、酒店、景点门票，可以直接拨打[link url=""tel:4007777777""]400-777-7777[/link]进行咨询哦."
,随心订度假版积分是多少,"尊敬的同程VIP会员您好：百旅会随心订度假版会员享999积分,购买成功后直接进入预定人账户。"
,度假专属折扣在哪里可以看到？,"尊敬的同程VIP会员您好：线上VIP会员频道   ，VIP频道是所有付费VIP会员的家，所有的权益特权都将在这个频道上体现
VIP会员日，每月固定一次会员狂欢节，VIP会员日，每次活动提供专属会员高积分抵扣产品，产品覆盖率≥40%。"
,惊喜礼包有什么？,尊敬的同程VIP会员您好：凡购买699百旅会随心订度假版会员，均可获赠全球指定免税店折扣券，数十家免税店优惠券码免费赠送。
,百旅会随心订度假版专属折扣有哪些,"尊敬的同程VIP会员您好：
1：积分权益
可获得999积分，并在同程预订所有指定产品，均可使用积分抵扣部分订单金额。折抵金额以同程网www.LY.com及同程旅游App列显的不同产品折抵规则为准。会员积分可转让，但不可提现，会员积分消耗时，优先消耗入会积分，入会积分消耗完毕后，方可消耗受让积分
2：会员专属折扣
会员专属折扣：会员可至同程旅游APP端VIP会员频道享专属线路积分抵扣特权，积分抵扣比例以页面为准
3：会员日专属活动
4：周边plus权益
周边PLUS政策以https://www.ly.com/scenery/zhuanti/PlusList页面为准,查看路径：同程网app上我的/会员中心/更多会员卡/周边游PLUS会员，以下权益仅作参考：
门票1折起：在【PLUS专享景区】版块每月最多可订2套不同产品，同一会员手机号可购买成功1次同一产品，每次至多可订2张；
自由行5折起：在【PLUS专享自由行】版块每月最多可订2套不同产品，同一会员手机号可购买成功1次同一产品，每次至多可订2张；
优选折扣：在【PLUS专享折扣】版块无购买数量上限，仅限开通会员的手机号使用；
专属特权（免费体验）：每月邀请1位PLUS会员免费体验1次周边游产品，以短信形式通知；
专享红包：自4月份起，每月10日前自动获得专享红包，至客户端我的红包-红包查看
备注：仅限苏州、广州和武汉3个城市销售的客户可享受此项权益"
,随心订怎样预订,尊敬的同程VIP会员您好：目前随心订产品您可以直接在您的专属顾问端预订，或者您可以直接拨打400-180-7777进行预订哦~
,随心订怎样退款,尊敬的同程VIP会员您好：随心订度假产品目前不支持退改哦，一旦预订不退不改哦。
,随心订赠送的行李箱是多少寸的？,尊敬的同程VIP会员您好：随心订赠送的行李箱一般是20寸的哦~一般情况入会后是由顾问为您申请的，有问题可以随时咨询顾问哦~
,随心订权益生效日期是什么时候？,"尊敬的同程VIP会员您好：
积分权益时效：自购买之日起5年内有效。
会员专属折扣：自购买之日起365日内有效。
会员日专属活动：自购买之日起365日内有效。
周边plus权益：自购买之日起365日内有效，默认开通会员成功后的5个工作日内此权益生效."
,旅游意外险的赠送范围,尊敬的同程VIP会员您好：只有在同程预订线路产品时才会赠送，如果只是预订单机票服务是不赠送旅游意外险的。
,旅游意外险投保流程是什么,尊敬的同程VIP会员您好：2位权益人在的同程预订线路产品时，我们会系统自动帮客人投保2份（1人享受2次或2人各享受1次。
,保险生效时间,尊敬的同程VIP会员您好：出发日期00:00:00 生效，返回日期23:59:59 失效。
,哪些不在受保范围,"尊敬的同程VIP会员您好，以下属于不受保范围：
（一）投保人的故意行为；
（二）被保险人自致伤害或自杀，但被保险人自杀时为无民事行为能力人的除外；
（三）因被保险人挑衅或故意行为而导致的打斗、殴斗、被袭击或被谋杀；
（四）被保险人妊娠、流产、分娩、疾病、药物过敏；
（五）被保险人接受医疗检查、麻醉、整容手术及其他内、外科手术；
（六）被保险人未遵医嘱，私自服用、涂用、注射药物；
（七）任何生物、化学、原子能武器，原子能或核能装置所造成的爆炸、灼伤、污染
或辐射；
（八）恐怖袭击；
（九）被保险人犯罪或拒捕；
（十）被保险人因精神错乱或失常而导致的意外；
（十一）被保险人受细菌、病毒或寄生虫感染（但因受伤以致伤口脓肿者除外）；或
被保险人中暑、猝死（见第5条释义）或食物中毒；
（十二）直接或间接由流行疫病（见第6条释义）爆发引起；
(十三) 被保险人从事跳伞、滑翔、探险活动（见第 7 条释义）、武术比赛（见第 8
条释义）、摔跤比赛、特技（见第 9 条释义）表演、赛马、马术表演、赛车、拳击等高风
险运动或活动；
（十四）被保险人参与任何职业、半职业或设有奖金、报酬的体育活动；
（十五）被保险人参与执行军警任务或以执法身份执行任务；
（十六）被保险人受雇于商业船舶并执行职务；于海军、空军服军役；职业性操作或
测试任何种类交通工具；从事石油或化工业、森林砍伐业、建筑工程业、运输业、采掘业、
采矿业、空中摄影、处理爆炸物、水上作业、高空作业等职业活动（任何体力劳动或与操
作机器有关的工作）；
（十七）违反法律法规或交通管理部门的规定搭乘交通工具或搭乘未经保险事故发生
地相关政府部门登记许可的交通工具；
（十八）航空或飞行活动，包括身为飞行驾驶员或空勤人员，但以缴费乘客身份乘坐
客运民航班机的除外；"
,国内游旅游意外险包含什么？,"尊敬的同程VIP会员您好：

因下列原因造成被保险人身故、伤残的，保险人不承担给付保险金责任：
（一）投保人的故意行为；
（二）被保险人自致伤害或自杀，但被保险人自杀时为无民事行为能力人的除外；
（三）因被保险人挑衅或故意行为而导致的打斗、被袭击或被谋杀；
（四）被保险人妊娠、流产、分娩、疾病、药物过敏、中暑、猝死；
（五）被保险人接受整容手术及其他内、外科手术；
（六）被保险人未遵医嘱，私自服用、涂用、注射药物；
（七）核爆炸、核辐射或核污染；
（八）恐怖袭击；
（九）被保险人犯罪或拒捕；
（十）被保险人从事高风险运动或参加职业或半职业体育运动。
被保险人在下列期间遭受伤害导致身故、伤残的，保险人也不承担给付保险金责任：
（一）战争、军事行动、暴动或武装叛乱期间；
（二）被保险人醉酒或毒品、管制药物的影响期间；
（三）被保险人酒后驾车、无有效驾驶证驾驶或驾驶无有效行驶证的机动车期间。"
,承保年龄,尊敬的同程VIP会员您好，要客会员承保年龄范围是28-100周岁哦~
,要客保险一共有几次,尊敬的同程VIP会员您好：要客会员权益人在同程旅游购买国内游线路且出游人为主权益人本人及子权益人的，可以帮客人投保境内旅程取消险，使用次数2份（1人享受2次或2人各享受1次）
,要客取消险什么时间开始生效,"尊敬的同程要客会员您好：取消险即刻可以投保，次日生效，投保时间为次日到出行前一天23点59分59秒,取消险一经投保不得取消，且出行前48小时内无法操作投保;"
,延误险的赠送范围是什么？只要乘飞机都送吗,尊敬的同程vip会员您好：只有在同程预订线路产品时才会赠送且只有2份，如果只是预订单机票服务、单酒店服务，目的地参团等是不赠送延误险的。
,度假产品赔偿流程,尊敬的同程要客会员您好，先行赔付和正常流程投诉不冲突，可累计申请赔付。
,赔偿金额的到账时间?,尊敬的同程要客会员您好，差评赔偿走投诉赔偿流程，赔款金额预计3个工作日左右到账。
,返利特权生效日期,尊敬的同程VIP会员您好：返利特权从权益开通起进行核算，需要 提供两位权益人准确姓名及身份证等有效证件方可算权益开通。
,返现起返金额上限,尊敬的同程VIP会员您好：无起返金额限制。权益人会员账号年度累积消费金额在15W及以内的，按照2%的额度进行返现，每次出游回团后7个工作日后可至会员中心账户进行申请提现；权益人会员账号年度累积消费金额大于15W的部分，不享受2%的返现权益。最高封顶返现3000元。
,返现方式,"尊敬的同程VIP会员您好：提现方式，奖金账户提现：只支持支付宝； 回团后7个工作日即可到会员中心查看，进行提现。
到账时间为提现后的7-15个工作日。"
,返利特权从什么时候开始生效,尊敬的同程VIP会员您好：返利特权从权益开通起进行核算。提供2位权益人准确名字和身份信息方可算权益开通。
,反现是不是只要用任意会员账号预定即可累计,尊敬的同程VIP会员您好：使用2位权益人（主权益人、子权益人）任意一位同程账户预订指定产品方可累计。
,同程要客立返提取操作流程,"尊敬的同程VIP会员您好：一． 实名认证流程：
同程 app<<我的<<个人资料管理<<填写姓名和身份证进行实名认证。
二． 同程要客立返提取流程：
同程 app<<我的<<我的钱包<<立返<<提现<< 填写支付宝账户信息<<提交申请（注意点：支付宝姓名和实名认证必须一致才能提现）"
,同程要客商旅体验套餐有哪些,"尊敬的同程要客会员您好：【享高铁vip候车室特权5次】
①2位权益人（主权益人、子权益人）1年内可享受共计5次高铁VIP候车室特权，共计29个高铁站，该贵宾休息室环境舒适，并免费提供报刊书籍、免费wifi、精美茶点、协助取票、登车提醒、（详细服务以各高铁贵宾厅提供为准）
【享机场vip候机室特权5次】
①2位权益人（主权益人、子权益人）1年内可享受共计5次国内VIP候机室特权待遇，共计74个机场，该贵宾休息室环境舒适，并免费提供饮品、精品小吃、报刊、音像、登机提醒、免费wifi等（详细服务以各机场贵宾厅提供为准）"
,商旅体验兑现注意点,"尊敬的同程VIP会员您好：要客预售期间（2.17-3.15）不接受权益兑换，3月15号之后才可以开始接受，系统预约兑现
备注：商旅体验套餐仅限2位指定受益人使用，不可进行转让第三人 系统上线后需要客户提前与高级客服进行联系，高级客服进行预约给客户发送短信，客户凭短信进入贵宾厅。"
,机场贵宾室以及高铁贵宾室可以使用多少次,尊敬的同程VIP会员您好：全年各5次，每月无次数限制。
,怎样预约vip贵宾厅,尊敬的同程要客会员您好：如果您想要预约vip贵宾厅，需要提前12个小时进行预约哦，且贵宾厅享用时间为两个小时，您可以直接联系您的专属客服或者致电400-180-7777进行预约哦~
,要客预约机场贵宾厅注意点是什么？,"尊敬的同程要客会员您好：vip候机室预约注意点
（1）预约人、预约手机号仅限主权益人或子权益人 ，且每次仅可预约一人。
（2）VIP候机室一经预约无法退改，要确保信息提供的正确性
（3）VIP候机室默认使用时长为2小时。
  （4）VIP候机室需要提前12个小时进行预约。"
,要客vip候车室预约注意点是什么？,"尊敬的同程要客会员您好：

（1）VIP候车室一经预约无法退改，客服同事需与客人核对好信息后进行预约。
（2）VIP候车室默认使用时长为2小时。
（3）判断是否在贵宾厅营业时间内：客人高铁开车时间往前推2小时-开车时间，时段在营业时间内的可进行预约。VIP候车室营业时间多在8:00-20:00"
,进入贵宾厅需要出示什么凭证？,"尊敬的同程VIP会员您好：
您预约完贵宾厅后会给您发送一条预约成功短信，如下模板。
vip候车室：【同程旅游】亲爱的张三，已帮您成功预约2017年03月18日贵宾休息厅服务。地址：深圳北站，候车厅A9-A10检票口上方夹层，工商银行贵宾厅，卡号：410390078888，绑定码：587（悦途）。如有疑问，请咨询要客专属礼宾[link url=""tel:4001807777""]400-180-7777[/link]进行预定~，祝您出行愉快。     凭短信上的卡号+绑定码进入贵宾厅哦~"
,同行非权益人怎么购买贵宾厅,尊敬的同程VIP会员您好：如同行非权益人存在购买需求，引导客人至微信端->>  钱包 >> 火车票机票。飞机票>>机场服务>>选择机场并选择“贵宾厅服务”-选择贵宾厅并“购买”即可哦~
,要客权益,"亲爱的同程要客会员您好：欢迎进入同程要客咨询服务页面~要客有以下权益：

1：积分特权，享受积分特权，权益人即可获取4500分的超值会员积分
2：立返特权：两位权益人出游消费返现，2位权益人（主权益人、子权益人）预定支付，回团后7个工作日后可进行消费金额的2%返现提取，返现计算包含出境线路、邮轮线路、国内线路、机票、火车票等服务（均需要含大交通）;会员期间内返现金额3000元封顶， 返现金额均返至主权益人账号
3：商旅体验：1机场vip候机室，全国74个主要机场，两位会员权益人（主权益人、子权益人）1年内可享受共计5次国内指定VIP候机室特权待遇  2：高铁vip候车室，全国29个高铁站，2位会员权益人（主权益人、子权益人）1年内可享受共计5次指定高铁VIP候车室特权。
4：度假体验：1：服务体验保障，会员主权益人购买同程出境、邮轮、国内打包旅游线路产品时，出现因同程服务质量问题可享受先行赔付的特权 2：2位会员权益人（主权益人、子权益人）通过同程预订出境/国内打包旅游产品时，共计赠送2份旅游意外险及2份取消险，仅限2位会员权益人（主权益人、子权益人）使用、2位会员权益人可享受来电优先接听服务(预订旅游线路以及机票服务)
5：会员特权：会员严选，仅会员有权购买严选品质旅游以及主题旅游，并有专属同程VIP会员日享专属折扣。
要客售价仅为2999元。"
